                     file line col                linter
394     R/converte_unit.R   88   5    object_name_linter
395     R/converte_unit.R   89   5    object_name_linter
396         R/converter.R    3  81    line_length_linter
397         R/converter.R    4  81    line_length_linter
398         R/converter.R    7  81    line_length_linter
399         R/converter.R    9  81    line_length_linter
400         R/converter.R   10  81    line_length_linter
401         R/converter.R   11  81    line_length_linter
402         R/converter.R   14  81    line_length_linter
403         R/converter.R   19  81    line_length_linter
404         R/converter.R   20  81    line_length_linter
405         R/converter.R   21  81    line_length_linter
406         R/converter.R   47  81    line_length_linter
407         R/converter.R   71   3         return_linter
408                R/ec.R    3  81    line_length_linter
409                R/ec.R    8   1    object_name_linter
410                R/ec.R   48  81    line_length_linter
411                R/ec.R   54   3    object_name_linter
412                R/ec.R   55   3    object_name_linter
413                R/ec.R   56   3    object_name_linter
414                R/ec.R   57   3    object_name_linter
415                R/ec.R   58   3    object_name_linter
416                R/ec.R   59   3    object_name_linter
417                R/ec.R   60   3    object_name_linter
418                R/ec.R   61   3    object_name_linter
419                R/ec.R   62   3    object_name_linter
420                R/ec.R   63   3    object_name_linter
421                R/ec.R   66   3    object_name_linter
422                R/ec.R   72   3    object_name_linter
423                R/ec.R   73   3    object_name_linter
424                R/ec.R   74   3    object_name_linter
425                R/ec.R   76   3    object_name_linter
426                R/ec.R   77   3    object_name_linter
427                R/ec.R   79   3    object_name_linter
428                R/ec.R   80   3    object_name_linter
429                R/ec.R   82   3    object_name_linter
430                R/ec.R   83   3    object_name_linter
431                R/ec.R   84   3    object_name_linter
432                R/ec.R  118  81    line_length_linter
433                R/ec.R  128  81    line_length_linter
434                R/ec.R  136   4    indentation_linter
435                R/ec.R  139   5    object_name_linter
436                R/ec.R  142   5    object_name_linter
437                R/ec.R  153   3    object_name_linter
438                R/ec.R  156  33    object_name_linter
439                R/ec.R  160   5    object_name_linter
440                R/ec.R  161   5    object_name_linter
441                R/ec.R  166  81    line_length_linter
442                R/ec.R  173  81    line_length_linter
443                R/ec.R  178   3    object_name_linter
444                R/ec.R  189  27    object_name_linter
445                R/ec.R  189  36    object_name_linter
446                R/ec.R  206  81    line_length_linter
447                R/ec.R  212  81    line_length_linter
448                R/ec.R  229   3    object_name_linter
449                R/ec.R  230   3    object_name_linter
450                R/ec.R  231   3    object_name_linter
451                R/ec.R  235   3    object_name_linter
